"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0046329","negative regulation of JNK cascade","6/599","36/18842",0.166666666666667,5.2426265998887,4.61694926239345,0.000869576662150202,0.0105361542437841,0.00488456596495339,"RGS2/TAOK3/NCOR1/PDCD4/PTPN22/DNAJA1",6
"GO:2000107","negative regulation of leukocyte apoptotic process","6/599","36/18842",0.166666666666667,5.2426265998887,4.61694926239345,0.000869576662150202,0.0105361542437841,0.00488456596495339,"IRF7/TSC22D3/CCL5/FOXP1/HCLS1/CCR7",6
"GO:0034101","erythrocyte homeostasis","11/599","112/18842",0.0982142857142857,3.0894049606487,4.01864831221685,0.000880601787732138,0.0106379840964427,0.00493177433159304,"HSPA1A/RPS19/ID2/ZFP36/HSPA1B/HMGB2/PTPN2/HCLS1/RPS14/KMT2E/PTBP3",11
"GO:0060260","regulation of transcription initiation by RNA polymerase II","9/599","79/18842",0.113924050632911,3.58356754929101,4.16964887080506,0.00088666335904971,0.0106794260367441,0.00495098683422296,"TAF7/DRAP1/MED10/SUB1/PIAS1/NCOR1/MED4/MED28/DHX36",9
"GO:0042129","regulation of T cell proliferation","13/599","148/18842",0.0878378378378378,2.76300591075215,3.90167206117673,0.000900324307853835,0.0108118827383986,0.00501239382217713,"CD55/PRNP/CD3E/TNFRSF1B/RAC2/TNFRSF14/CCL5/LAPTM5/PTPRC/CD6/HLA-E/ANXA1/HLA-A",13
"GO:0043123","positive regulation of canonical NF-kappaB signal transduction","17/599","226/18842",0.0752212389380531,2.36614120879933,3.74389692189643,0.000939576877731225,0.0112499780138969,0.00521549499387536,"TGFB1/HSPA1A/TERF2IP/SHISA5/EIF2AK2/LTB/AKAP13/REL/CARD16/S100A4/HSPA1B/MIER1/ZC3HAV1/CCR7/BIRC3/UBE2N/DHX36",17
"GO:0032273","positive regulation of protein polymerization","9/599","80/18842",0.1125,3.53877295492487,4.12331532163674,0.000971473536983614,0.0115696405422159,0.00536369068937965,"SNX9/PFN1/HSPA1A/ARF6/RPS3/EVL/HSPA1B/CCR7/HSP90AA1",9
"GO:0038061","non-canonical NF-kappaB signal transduction","12/599","131/18842",0.0916030534351145,2.88144362741975,3.91557561956849,0.000971975221703774,0.0115696405422159,0.00536369068937965,"TNFRSF1B/CD27/UXT/RPS3/EIF2AK2/LAPTM5/LTB/REL/VCP/PDCD4/BIRC3/PTPN22",12
"GO:0006367","transcription initiation at RNA polymerase II promoter","16/599","207/18842",0.0772946859903382,2.43136306081795,3.75221345357368,0.000985670430052135,0.0116983516829872,0.00542336123358155,"TAF7/DRAP1/POLR2C/MED10/CCNH/ARID5B/SUB1/PIAS1/NCOR1/MED4/PPP2CA/GTF2B/MED28/POLR2A/KDM5A/DHX36",16
"GO:0002704","negative regulation of leukocyte mediated immunity","8/599","65/18842",0.123076923076923,3.8714781045332,4.20209959163545,0.00101927040356939,0.012001586515723,0.00556394104183973,"TGFB1/TIGIT/TNFRSF14/PTPRC/HLA-E/HLA-F/HLA-B/HLA-A",8
"GO:0032922","circadian regulation of gene expression","8/599","65/18842",0.123076923076923,3.8714781045332,4.20209959163545,0.00101927040356939,0.012001586515723,0.00556394104183973,"RORA/HDAC1/ID2/PPP1CC/PPP1CB/PPP1CA/MYCBP2/KDM5A",8
"GO:0030183","B cell differentiation","11/599","114/18842",0.0964912280701754,3.03520487361978,3.94940904254878,0.0010200905020755,0.012001586515723,0.00556394104183973,"GPR183/DNAJB9/CD27/ID2/LAPTM5/JMJD1C/PIK3R1/PTPRC/PTPN2/KLF6/ZFP36L2",11
"GO:0001732","formation of cytoplasmic translation initiation complex","4/599","15/18842",0.266666666666667,8.38820255982193,5.18693874185447,0.00104352236390434,0.0121714289514015,0.00564268007332356,"EIF3G/EIF3F/EIF5/EIF3K",4
"GO:0061684","chaperone-mediated autophagy","4/599","15/18842",0.266666666666667,8.38820255982193,5.18693874185447,0.00104352236390434,0.0121714289514015,0.00564268007332356,"PLK3/HSPA8/HSP90AA1/EEF1A1",4
"GO:0160165","CD8-positive, alpha-beta T cell homeostasis","4/599","15/18842",0.266666666666667,8.38820255982193,5.18693874185447,0.00104352236390434,0.0121714289514015,0.00564268007332356,"PSMA5/PSMB8/PSMB10/PSMB9",4
"GO:0071824","protein-DNA complex organization","17/599","229/18842",0.074235807860262,2.33514372571462,3.6834504206391,0.001086343101167,0.0126345749215956,0.00585739475863203,"TAF7/DRAP1/BAZ1A/CHD2/MED10/PIAS1/NPM1/MED4/CHD1/TSPYL2/GTF2B/MED28/HMGB2/NASP/SMARCA5/BDP1/NAP1L4",17
"GO:0061013","regulation of mRNA catabolic process","21/599","313/18842",0.0670926517571885,2.11045032455584,3.58973649570298,0.00110773867641263,0.0128353244769414,0.00595046234504288,"BCLAF1/HNRNPC/FXR1/SMG1/FUS/RBM8A/ARID5A/CNOT6L/NPM1/CNOT2/ZFP36/MAGOH/TNRC6B/ROCK1/TAF15/PABPC1/ZC3HAV1/ZFP36L2/THRAP3/LSM6/DHX36",21
"GO:0097530","granulocyte migration","12/599","133/18842",0.0902255639097744,2.83811364806005,3.85469614598245,0.00110992828071112,0.0128353244769414,0.00595046234504288,"ITGB2/CCL4/SRP54/RAC2/PTGER4/CKLF/CCL5/ANXA1/CCR7/CD99/WDR1/PDE4B",12
"GO:2000106","regulation of leukocyte apoptotic process","8/599","66/18842",0.121212121212121,3.8128193453736,4.14791192972636,0.00112817915036511,0.0130093158276477,0.00603112481544643,"IRF7/TSC22D3/CCL5/CD3G/FOXP1/ANXA1/HCLS1/CCR7",8
"GO:0036037","CD8-positive, alpha-beta T cell activation","6/599","38/18842",0.157894736842105,4.96669888410509,4.43519958522054,0.00116800939483737,0.0133925145018217,0.00620877589746145,"PSMA5/PSMB10/PSMB9/HLA-E/SOCS1/HLA-A",6
"GO:1900101","regulation of endoplasmic reticulum unfolded protein response","6/599","38/18842",0.157894736842105,4.96669888410509,4.43519958522054,0.00116800939483737,0.0133925145018217,0.00620877589746145,"BAX/DNAJB9/SHISA5/PTPN1/PIK3R1/PTPN2",6
"GO:0008064","regulation of actin polymerization or depolymerization","12/599","134/18842",0.0895522388059701,2.81693369546259,3.8246795572568,0.0011847721322004,0.0135464509425392,0.00628014090234819,"SNX9/PFN1/ARF6/SPTAN1/COTL1/WAS/TWF2/EVL/TMSB4X/HCLS1/CCR7/WDR1",12
"GO:0032640","tumor necrosis factor production","15/599","191/18842",0.0785340314136126,2.470347612513,3.70086207698195,0.00119529333666633,0.0135661168507422,0.00628925802645775,"TGFB1/PSMA5/PSMB8/FXR1/PSMB10/CD47/PSMB9/ARID5A/PTPRC/HLA-E/CD2/TNFAIP3/ZFP36/FOXP1/PTPN22",15
"GO:0032680","regulation of tumor necrosis factor production","15/599","191/18842",0.0785340314136126,2.470347612513,3.70086207698195,0.00119529333666633,0.0135661168507422,0.00628925802645775,"TGFB1/PSMA5/PSMB8/FXR1/PSMB10/CD47/PSMB9/ARID5A/PTPRC/HLA-E/CD2/TNFAIP3/ZFP36/FOXP1/PTPN22",15
"GO:0006405","RNA export from nucleus","10/599","99/18842",0.101010101010101,3.177349454478,3.93589440637134,0.0012029781420474,0.0135661168507422,0.00628925802645775,"RAN/TPR/SMG1/RBM8A/WNK1/HNRNPA1/MAGOH/YTHDC1/SRSF3/DDX39A",10
"GO:0031341","regulation of cell killing","10/599","99/18842",0.101010101010101,3.177349454478,3.93589440637134,0.0012029781420474,0.0135661168507422,0.00628925802645775,"TGFB1/CD55/TIGIT/HLA-C/PTPRC/HLA-E/KLRB1/HLA-F/HLA-B/HLA-A",10
"GO:0002726","positive regulation of T cell cytokine production","5/599","26/18842",0.192307692307692,6.04918453833312,4.6683297205619,0.00120654549965951,0.0135661168507422,0.00628925802645775,"CD55/CD7/ARID5A/B2M/HLA-A",5
"GO:1904358","positive regulation of telomere maintenance via telomere lengthening","5/599","26/18842",0.192307692307692,6.04918453833312,4.6683297205619,0.00120654549965951,0.0135661168507422,0.00628925802645775,"PTGES3/HNRNPA1/CCT4/HSP90AA1/DHX36",5
"GO:0002260","lymphocyte homeostasis","7/599","52/18842",0.134615384615385,4.23442917683318,4.23207333452669,0.00122463036976997,0.0137314217428075,0.00636589345063053,"PSMA5/PSMB8/PSMB10/TSC22D3/PSMB9/PPP2CA/TNFAIP3",7
"GO:0000288","nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay","8/599","67/18842",0.119402985074627,3.75591159395012,4.09477428509913,0.0012461745059504,0.013896215163881,0.00644229175661574,"CNOT6L/CNOT2/ZFP36/TNRC6B/PABPC1/ZFP36L2/LSM6/DHX36",8
"GO:0006278","RNA-templated DNA biosynthetic process","8/599","67/18842",0.119402985074627,3.75591159395012,4.09477428509913,0.0012461745059504,0.013896215163881,0.00644229175661574,"PTGES3/HNRNPC/TERF2IP/RFC1/HNRNPA1/CCT4/HSP90AB1/HSP90AA1",8
"GO:0071674","mononuclear cell migration","16/599","212/18842",0.0754716981132075,2.37401959240243,3.645622411257,0.00126711087219247,0.0140909672061075,0.00653257889317945,"TGFB1/CCL4/GPR183/RPS19/CD69/TNFRSF14/CD47/CKLF/CCL5/WNK1/MSN/CXCR4/ANXA1/DUSP1/CCR7/CD99",16
"GO:1902904","negative regulation of supramolecular fiber organization","13/599","154/18842",0.0844155844155844,2.65535632981376,3.73755591400239,0.00129838072752568,0.0143721680156552,0.00666294371812914,"PFN1/SPTAN1/WAS/GMFG/TWF2/CIB1/TMSB4X/CORO1B/PIK3R1/HSPA8/PFDN5/PAK2/CORO1A",13
"GO:0046634","regulation of alpha-beta T cell activation","10/599","100/18842",0.1,3.14557595993322,3.89810187164624,0.00129947909873009,0.0143721680156552,0.00666294371812914,"CD55/HSPH1/CD69/TNFRSF14/BATF/HLA-E/SOCS1/ANXA1/JUNB/HLA-A",10
