"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
4.78072599910342e-21,0.359645307345707,0.753,0.667,1.32516943969148e-16,"RBMX"
6.3985540620057e-13,0.35940808701558,0.302,0.22,1.77361520044736e-08,"PDCD7"
1.66353651300328e-10,0.359182262183532,0.621,0.556,4.61115686039379e-06,"MTX2"
1.14159854718897e-08,0.359155123124145,0.348,0.28,0.000316439701295309,"RIOK1"
4.12927520166131e-12,0.358952814458407,0.52,0.432,1.1445937931485e-07,"TSN"
5.79555920106807e-23,0.358935460520669,0.784,0.709,1.60647105494406e-18,"MRPS12"
2.6273950232995e-12,0.358748364119092,0.473,0.388,7.2828762650839e-08,"TFDP2"
1.21192836327779e-09,0.35835675635481,0.374,0.303,3.35934423016972e-05,"IQCE"
9.77341172280742e-18,0.356916980041595,0.676,0.594,2.70909199544499e-13,"MRPL9"
2.3127273957091e-08,0.356616877795328,0.29,0.231,0.000641064906816607,"TEX261"
8.38247701435024e-09,0.356450442222703,0.289,0.226,0.000232353880360774,"RBM10"
2.06163405161985e-09,0.356279792397623,0.29,0.222,5.71464342768506e-05,"PRPF4"
6.04523263866376e-21,0.356129893693846,0.769,0.708,1.67567803511121e-16,"UBE2L3"
6.26822888565904e-33,0.356014352450172,0.867,0.822,1.73749036481583e-28,"ANAPC16"
2.90552702079939e-09,0.355536090734745,0.31,0.243,8.05383034895383e-05,"MPPE1"
1.64632229270797e-06,0.355476131116934,0.387,0.329,0.0456344076315723,"PPP1R37"
7.5825499122533e-21,0.3552479963097,0.578,0.45,2.10180701017749e-16,"SMAP1"
2.75145099323477e-14,0.354845253114436,0.65,0.569,7.62674700814745e-10,"MRPS18B"
5.63223252973181e-15,0.354820678180064,0.557,0.466,1.56119853491636e-10,"FARSA"
4.18070272580486e-69,0.354709217018693,0.936,0.775,1.15884898856585e-64,"KRT7"
4.58987169006141e-11,0.354648225955199,0.599,0.456,1.27226653376812e-06,"IGKC"
2.23238112638599e-14,0.354525080146794,0.456,0.362,6.18793724422932e-10,"CEP350"
7.9259077048653e-08,0.353792731965852,0.333,0.278,0.00219698235671161,"PEX11A"
5.74945914426142e-10,0.353551930722066,0.317,0.246,1.59369258019782e-05,"UBAP2"
5.07518197200654e-50,0.35226569160853,0.953,0.933,1.40678969082049e-45,"RPL36AL"
9.39091718135027e-09,0.35201234021103,0.253,0.191,0.000260306833349848,"HMGCR"
2.59938291143021e-08,0.351641290971171,0.291,0.23,0.000720522949219341,"TMEM170A"
1.63436261290004e-36,0.351455528214615,0.877,0.82,4.53028972669763e-32,"PPA1"
1.10463930472144e-11,0.351333795314223,0.454,0.371,3.06194968875737e-07,"HDDC3"
1.24632045955383e-12,0.35125837208778,0.516,0.434,3.45467568183726e-08,"ACAP2"
7.32266893450863e-09,0.350934084482458,0.497,0.427,0.000202977060195645,"RFC1"
2.30162036711841e-12,0.350818863712474,0.38,0.292,6.37986149561551e-08,"TBPL1"
3.89853536541006e-13,0.349999049427158,0.301,0.216,1.08063501793801e-08,"EGLN1"
