"name","contribution","contribution.scaled","group","contribution.relative.1","pvalues"
"THY1",0.761742006773977,3.67447996016978,"HER2",2,0.113376617431641
"Prostaglandin",2.33117689534996,30.4594142509191,"HER2",2,7.47230666330971e-08
"PROS",0.00404850784955324,0.181507740945794,"HER2",1,0.963226318359375
"EPHB",0.0046904501689806,0.186489690367859,"HER2",1,0.638671875
"CALCR",0.0227866238912189,0.264439620591181,"HER2",1,0.3828125
"LAIR1",0.163187217046267,0.551615438056006,"HER2",1,0.50758421421051
"EGF",0.299699362440385,0.829892438844432,"HER2",1,0.121491582773641
"ADGRG",0.453057613637062,1.26304731162463,"HER2",1,0.906361748743024
"VISFATIN",0.711553270502132,2.93854048261234,"HER2",1,0.0692933139716932
"ADGRE",1.67269427247954,28.8893413513872,"HER2",1,0.00714990250493204
"FN1",9.46389274327855,32.9715308901702,"HER2",1,0.656537787695229
"MHC-II",10.9382947359603,33.599560049983,"HER2",1,0.775353727106557
"CD99",13.206861067627,34.2275892097957,"HER2",1,0.905454068004777
"MIF",39.4678515801255,37.0537204289532,"HER2",1,0.718572136871846
"COLLAGEN",43.4113571175562,37.3677350088595,"HER2",1,0.238074827669646
"CLEC",0.484299090389776,1.37921026596254,"HER2",0.9,0.518291093823791
"ANNEXIN",0.831952081015172,5.43536056614433,"HER2",0.9,0.3883751543265
"CXCL",1.97215343706568,29.2033559312936,"HER2",0.9,0.794994968504364
"LAMININ",3.7859765077479,31.7154725705447,"HER2",0.9,0.0077768084406189
"APP",15.7595238664099,35.1696329495149,"HER2",0.9,0.0629002123577551
"CADM",0.000491286838012148,0.131259737343872,"HER2",0.8,0
"PTPRM",0.00191527017544232,0.159798102575461,"HER2",0.8,0
"PDGF",0.0115095446660246,0.22398530428313,"HER2",0.8,0.462777614593506
"JAM",0.0668180074580307,0.369578833521334,"HER2",0.8,0.0206986370041149
"PECAM1",0.174915491006812,0.573574615526568,"HER2",0.8,0.123708348798345
"VEGF",0.0814665526316987,0.398793611021997,"HER2",0.7,0.860260009765625
"CCL",0.512525488041136,1.49609928815238,"HER2",0.7,0.306016367532234
"GALECTIN",2.79974086317782,31.0874434107319,"HER2",0.7,0.0487024616140763
"CypA",17.524132064818,35.7976621093276,"HER2",0.7,9.1372517707633e-07
"SEMA3",0.0213338419314186,0.259911690467634,"HER2",0.6,0.131590686738491
"CHEMERIN",0.0238368562521827,0.267628536895729,"HER2",0.6,0.640625
"TENASCIN",0.0411141504141275,0.313341819783414,"HER2",0.6,0.0278253746000701
"Desmosterol",0.133370905816516,0.496371212084113,"HER2",0.6,0.000175448973624315
"ANGPTL",0.266612991268215,0.756454175012641,"HER2",0.6,0.000182539303054119
"PLAU",0.464645670979299,1.30466520843549,"HER2",0.6,0.000798097992948055
"ApoE",0.808774564998923,4.71175686950713,"HER2",0.6,0.000257795914027747
"IFN-II",0.0652037946339907,0.36626848727932,"HER2",0.5,0.0310333909299629
"MK",14.6646208164019,34.8556183696085,"HER2",0.5,0
"CD6",0.0143179416041451,0.235502364324845,"HER2",0.4,0.1590576171875
"CD45",0.165366823804699,0.555682406085801,"HER2",0.4,0.0291509032249451
"KLK",0.00964858116457825,0.215473384928747,"HER2",0.3,0.1748046875
"PARs",0.0400912911257755,0.310887644655502,"HER2",0.3,0.00533044338226319
"MPZ",0.131525247985254,0.492961387403416,"HER2",0.3,3.22820659093281e-10
"IGF",0.00389884272186782,0.180275173572491,"HER2",0.2,0.00710105895996094
"IL16",0.00554475290163455,0.192496367565092,"HER2",0.2,0.16015625
"DHT",0.0515781071793527,0.337307037808927,"HER2",0.2,1.01085420651792e-05
"DESMOSOME",0.0496041177805641,0.332924787019432,"HER2",0.2,5.56990142897007e-09
"PTN",0.492243948268018,1.41087332164218,"HER2",0.2,2.06501482580279e-14
"CLDN",0.699617939180117,2.79938832380221,"HER2",0.2,1.61174418256138e-08
"MHC-I",1.98244762656341,29.5173705112,"HER2",0.2,9.94425164435597e-08
"FLT3",0.000126320120517619,0.111399620855604,"HER2",0.1,0
"VCAM",0.00304893258863054,0.172623211233182,"HER2",0.1,0.0006103515625
"PECAM2",0.0051436881804199,0.189753863948118,"HER2",0.1,0.0155029296875
"CD39",0.00124427441534788,0.149494647146455,"HER2",0.09,0.00836181640625
"CD70",0.00266957099633139,0.168752518246055,"HER2",0.09,0
"FGF",0.00912050713349745,0.212891433406501,"HER2",0.09,1.49011611938476e-06
