"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,1.25475216837554,0.31,0.077,0,"19","FAM189B"
0,1.40619308859129,0.284,0.051,0,"19","ITGA2"
0,1.7980849199784,0.274,0.042,0,"19","SND1-IT1"
0,0.848647507404427,0.321,0.089,0,"19","MESP1"
0,2.30511270300187,0.265,0.033,0,"19","TBC1D24"
0,0.738897227970742,0.333,0.101,0,"19","DNAL4"
0,0.500865909920447,0.345,0.113,0,"19","KIAA0319L"
0,0.991114833841675,0.316,0.084,0,"19","GTPBP3"
0,0.6789693084556,0.317,0.085,0,"19","ZNF226"
0,1.6813828819522,0.276,0.045,0,"19","IFT46"
0,0.320066741890951,0.379,0.148,0,"19","DLGAP4"
0,1.21145955390806,0.294,0.063,0,"19","HEMK1"
0,1.5900233113284,0.282,0.051,0,"19","MYB"
0,0.382216886980017,0.352,0.121,0,"19","UCKL1"
0,2.39760394466132,0.258,0.028,0,"19","SYTL4"
0,0.281728787526917,0.386,0.156,0,"19","BAIAP2"
0,1.06696588714298,0.311,0.081,0,"19","SGPL1"
0,0.739142851182062,0.331,0.102,0,"19","TMEM5"
0,1.75834578158641,0.254,0.025,0,"19","IZUMO4"
0,0.768525110827133,0.316,0.087,0,"19","ATG4D"
0,0.904442128260873,0.329,0.1,0,"19","POLR3H"
0,0.256951400174952,0.356,0.127,0,"19","NUPL2"
0,0.455427158166414,0.351,0.122,0,"19","HGSNAT"
0,1.04658732907881,0.295,0.066,0,"19","RP11-352M15.2"
0,0.80148637322689,0.339,0.111,0,"19","LRRC42"
0,1.63712552249281,0.281,0.053,0,"19","DBP"
0,1.5978327944553,0.284,0.056,0,"19","CCDC24"
0,0.528307854216301,0.351,0.123,0,"19","TMEM69"
0,1.37139597582025,0.294,0.066,0,"19","F12"
0,0.93158931335277,0.311,0.083,0,"19","C6orf120"
0,1.2909212485351,0.3,0.072,0,"19","CHMP4C"
0,1.24873740444858,0.303,0.075,0,"19","TMEM203"
0,0.788127365350514,0.337,0.11,0,"19","IFI27L1"
0,0.257072075885237,0.338,0.112,0,"19","ZC3H6"
0,1.55864479669524,0.27,0.044,0,"19","ERBB4"
0,0.940080217523124,0.324,0.098,0,"19","NR2F6"
0,1.87955856100881,0.263,0.037,0,"19","LENG9"
0,0.902256768724827,0.301,0.075,0,"19","EPB41L5"
0,1.25419228974777,0.295,0.069,0,"19","ZNHIT2"
0,1.00241804480748,0.286,0.06,0,"19","SH2D3A"
0,1.59524453603891,0.273,0.048,0,"19","GLI3"
0,1.68351210018229,0.273,0.048,0,"19","SYBU"
0,0.360368941244418,0.377,0.152,0,"19","MORN2"
0,1.52939780002383,0.274,0.05,0,"19","PHF13"
0,0.709039679602408,0.328,0.104,0,"19","HCCS"
0,0.660080923136208,0.334,0.11,0,"19","SAC3D1"
0,0.688198932438365,0.319,0.095,0,"19","SEPN1"
0,0.857906951155898,0.32,0.096,0,"19","HSD3B7"
0,1.13472229187099,0.299,0.075,0,"19","SH3BP4"
0,1.22465626569772,0.307,0.083,0,"19","BPHL"
0,1.17299060040191,0.284,0.06,0,"19","SLC25A22"
0,0.52372307606739,0.354,0.13,0,"19","VAPB"
0,0.501290472845643,0.326,0.103,0,"19","RNF2"
0,0.466261706378945,0.329,0.106,0,"19","KIAA0232"
0,1.95330579777863,0.266,0.043,0,"19","SYT7"
0,1.51928974367087,0.278,0.055,0,"19","AACS"
0,0.71245670437309,0.327,0.104,0,"19","OSBPL2"
0,0.516960512364875,0.316,0.093,0,"19","UMAD1"
0,0.795006891743131,0.324,0.101,0,"19","ALKBH2"
0,0.975572982116335,0.284,0.061,0,"19","ZNF44"
0,0.549557411257732,0.354,0.131,0,"19","ILVBL"
0,0.329184620104069,0.306,0.083,0,"19","ZNF506"
0,1.3779153607143,0.277,0.055,0,"19","ATP13A2"
0,1.32861763211257,0.272,0.05,0,"19","KIAA1147"
0,1.49672985972735,0.281,0.059,0,"19","MTL5"
0,0.735072059965481,0.313,0.091,0,"19","TMEM127"
0,0.277926522512291,0.369,0.147,0,"19","RMDN3"
0,0.56854758328703,0.314,0.092,0,"19","TRMT2A"
0,0.303983662258436,0.351,0.129,0,"19","KMT5B"
0,2.17339454023783,0.271,0.05,0,"19","OVOL1"
0,0.658395203704336,0.335,0.114,0,"19","BCAT2"
0,1.83629326360504,0.263,0.042,0,"19","ME3"
0,0.675958270374937,0.319,0.098,0,"19","AKAP1"
0,0.907603500258387,0.29,0.069,0,"19","MTHFR"
